,"(0, 0, 0)","(-0.1, 0, 0.1)","(-0.1, 0.1, 0)","(0.1, 0, -0.1)","(0.1, -0.1, 0)","(-0.1, 0.05, 0.05)","(0.1, -0.05, -0.05)","(0.05, -0.1, 0.05)","(-0.05, 0.1, -0.05)","(0.05, 0.05, -0.1)","(-0.05, -0.05, 0.1)"
13,-1107.8293156608797,-1107.8279920182608,-1107.8007204595003,-1107.819701500822,-1107.7959923356973,-1107.7933624425427,-1107.8316781883743,-1107.794253351492,-1107.7995803655517,-1107.8192970164434,-1107.8246636927174
14,-1039.182389067688,-1039.166901578394,-1039.1666163546543,-1039.1543257302824,-1039.168603851203,-1039.15325497113,-1039.168442097152,-1039.1573502470972,-1039.160961623999,-1039.1556952230203,-1039.1487241378568
15,-1043.019079905424,-1043.0433428035426,-1043.0396578184068,-1043.0299819960806,-1043.0452638251804,-1043.0568100972403,-1043.0499540005226,-1043.0310370220968,-1043.0308606127633,-1043.029744205999,-1043.036817646816
16,-1016.3250915559668,-1016.3294963617802,-1016.3140626593156,-1016.3249232036628,-1016.3370548942598,-1016.3278829489539,-1016.3435300124255,-1016.3183339777197,-1016.3094790290686,-1016.3235239002577,-1016.3179281120927
17,-1020.4451211336282,-1020.4487383224309,-1020.437214818011,-1020.4334955897561,-1020.4123827530199,-1020.4155222784179,-1020.4245710849048,-1020.4440173055741,-1020.4471628441729,-1020.4304584898155,-1020.4191370633126
18,-1057.6507534683305,-1057.6599070562847,-1057.6597815702294,-1057.6583011171147,-1057.6532896604358,-1057.6662393087286,-1057.6563388031018,-1057.6620732829078,-1057.6662926431577,-1057.6534065155524,-1057.6519179842915
19,-1062.1708117029432,-1062.1412106655675,-1062.174129179387,-1062.1623067066039,-1062.1760955110317,-1062.1583293185895,-1062.1458823724427,-1062.1725937844321,-1062.1738079929085,-1062.1716396930242,-1062.1528162585632
20,-1029.418445663256,-1029.4138873513878,-1029.4157697006667,-1029.4378391564414,-1029.4360251963308,-1029.4080842706767,-1029.3956727709294,-1029.4412688392968,-1029.4313321012207,-1029.3956876764278,-1029.4213824641822
21,-809.1378313552863,-809.1232858022472,-809.1196758312544,-809.1396725606578,-809.1281099455935,-809.1419878073459,-809.1348100375449,-809.1186377872457,-809.1179815702857,-809.1364468772322,-809.1245608058682
22,-824.108273917315,-824.0980670504728,-824.1230982916727,-824.1115400696209,-824.0955311402612,-824.1064644290325,-824.1261737353916,-824.1015324740449,-824.1157269307018,-824.1120046400146,-824.1053727119694
23,-713.1153624851984,-713.1231097601994,-713.0936618261458,-713.1235015947316,-713.1095018713795,-713.124178491265,-713.1304399516557,-713.1010802971837,-713.1294464324635,-713.1245916785763,-713.122606627313
24,-531.3035789066297,-531.3095667472912,-531.2993256745796,-531.3108915417274,-531.3084302970849,-531.3070983816792,-531.3097225977099,-531.3049705173864,-531.3032881605054,-531.3102615592848,-531.3087353260894
