Date,SPY,AGG,GLD
2005-01-03,83.9624252319336,56.9316520690918,43.02000045776367
2005-01-04,82.93643951416016,56.87605285644531,42.7400016784668
2005-01-05,82.36412811279297,56.8537712097168,42.66999816894531
2005-01-06,82.78287506103516,56.8927001953125,42.150001525878906
2005-01-07,82.66423797607422,56.87605285644531,41.84000015258789
2005-01-10,83.05509185791016,56.84821701049805,41.95000076293945
2005-01-11,82.48280334472656,56.92610168457031,42.209999084472656
2005-01-12,82.75498962402344,57.00947952270508,42.599998474121094
2005-01-13,82.09193420410156,57.14850616455078,42.599998474121094
2005-01-14,82.52465057373047,56.942745208740234,42.31999969482422
2005-01-18,83.38311767578125,57.09286880493164,42.31999969482422
2005-01-19,82.51072692871094,57.176239013671875,42.2599983215332
2005-01-20,82.00818634033203,57.254051208496094,42.25
2005-01-21,81.50566864013672,57.281864166259766,42.7400016784668
2005-01-24,81.34514617919922,57.292964935302734,42.77000045776367
2005-01-25,81.57546997070312,57.19294738769531,42.2400016784668
2005-01-26,81.81974029541016,57.165103912353516,42.689998626708984
2005-01-27,81.95928192138672,57.087318420410156,42.619998931884766
2005-01-28,81.95928192138672,57.281864166259766,42.689998626708984
2005-01-31,82.46883392333984,57.20962142944336,42.220001220703125
2005-02-01,82.99229431152344,57.2703742980957,42.099998474121094
2005-02-02,83.24354553222656,57.31499481201172,42.15999984741211
2005-02-03,83.0271987915039,57.242515563964844,41.68000030517578
2005-02-04,83.91358947753906,57.482303619384766,41.470001220703125
2005-02-07,83.80187225341797,57.493499755859375,41.27000045776367
2005-02-08,83.89962768554688,57.526947021484375,41.2599983215332
2005-02-09,83.271484375,57.68307113647461,41.310001373291016
2005-02-10,83.57157135009766,57.38745880126953,41.75
2005-02-11,84.29047393798828,57.46552658081055,42.08000183105469
2005-02-14,84.22763061523438,57.47675323486328,42.54999923706055
2005-02-15,84.54174041748047,57.36520767211914,42.58000183105469
2005-02-16,84.5975570678711,57.29827880859375,42.52000045776367
2005-02-17,83.91358947753906,57.2703742980957,42.72999954223633
2005-02-18,84.02525329589844,57.287147521972656,42.75
2005-02-22,82.77592468261719,57.125396728515625,43.56999969482422
2005-02-23,83.36919403076172,57.15328598022461,43.41999816894531
2005-02-24,83.92052459716797,57.097557067871094,43.33000183105469
2005-02-25,84.75111389160156,57.147769927978516,43.5
2005-02-28,84.19273376464844,56.99714279174805,43.529998779296875
2005-03-01,84.61148834228516,56.9563102722168,43.220001220703125
2005-03-02,84.56963348388672,56.88359451293945,43.25
2005-03-03,84.60453033447266,56.92839431762695,42.970001220703125
2005-03-04,85.65843963623047,57.09052276611328,43.380001068115234
2005-03-07,85.70033264160156,57.10731887817383,43.470001220703125
2005-03-08,85.37922668457031,56.98432540893555,44.029998779296875
2005-03-09,84.43004608154297,56.63755798339844,44.02000045776367
2005-03-10,84.61848449707031,56.570472717285156,44.20000076293945
2005-03-11,84.02525329589844,56.61520004272461,44.43000030517578
2005-03-14,84.5487060546875,56.592796325683594,44.029998779296875
2005-03-15,83.85072326660156,56.604068756103516,44.060001373291016
2005-03-16,83.13883972167969,56.643165588378906,44.310001373291016
2005-03-17,83.30638122558594,56.63197326660156,43.81999969482422
2005-03-18,83.05899810791016,56.592796325683594,43.88999938964844
2005-03-21,82.75070190429688,56.592796325683594,43.09000015258789
2005-03-22,81.90986633300781,56.285274505615234,42.650001525878906
2005-03-23,81.97992706298828,56.357967376708984,42.41999816894531
2005-03-24,82.07805633544922,56.39152145385742,42.38999938964844
2005-03-28,82.19715881347656,56.27968978881836,42.540000915527344
2005-03-29,81.65061950683594,56.24612808227539,42.560001373291016
2005-03-30,82.8067855834961,56.413856506347656,42.61000061035156
2005-03-31,82.65264129638672,56.44185256958008,42.81999969482422
2005-04-01,82.28121185302734,56.774574279785156,42.619998931884766
2005-04-04,82.42142486572266,56.7072868347168,42.400001525878906
2005-04-05,82.81379699707031,56.59506607055664,42.45000076293945
2005-04-06,83.10105895996094,56.740909576416016,42.630001068115234
2005-04-07,83.54948425292969,56.67363739013672,42.56999969482422
2005-04-08,82.6806640625,56.67363739013672,42.689998626708984
2005-04-11,82.74374389648438,56.780242919921875,42.779998779296875
2005-04-12,83.17113494873047,56.937339782714844,42.84000015258789
2005-04-13,82.19019317626953,57.015872955322266,42.900001525878906
2005-04-14,81.11811065673828,57.066375732421875,42.310001373291016
2005-04-15,79.9830093383789,57.26837921142578,42.400001525878906
2005-04-18,80.228271484375,57.20103454589844,42.689998626708984
2005-04-19,80.86589050292969,57.27397918701172,43.279998779296875
2005-04-20,79.73779296875,57.31329345703125,43.400001525878906
2005-04-21,81.28631591796875,57.17300033569336,43.189998626708984
2005-04-22,80.97795867919922,57.29084777832031,43.38999938964844
2005-04-25,81.510498046875,57.26837921142578,43.439998626708984
2005-04-26,80.71873474121094,57.12811279296875,43.63999938964844
2005-04-27,81.03404998779297,57.363746643066406,43.20000076293945
2005-04-28,80.01806640625,57.50969314575195,43.0
2005-04-29,81.10407257080078,57.41425704956055,43.349998474121094
2005-05-02,81.5595474243164,57.4165153503418,42.880001068115234
2005-05-03,81.69966888427734,57.377105712890625,42.7599983215332
2005-05-04,82.3302993774414,57.43904495239258,42.900001525878906
2005-05-05,82.30229949951172,57.478458404541016,42.90999984741211
2005-05-06,82.04305267333984,57.2645149230957,42.52000045776367
2005-05-09,82.55451965332031,57.219486236572266,42.54999923706055
2005-05-10,81.69966888427734,57.281410217285156,42.63999938964844
2005-05-11,82.14813232421875,57.377105712890625,42.689998626708984
